attempts_executed,combo_size,concepts,depth,detail,difficulty,final_agent_role,final_cwe_ids,final_test_ids,first_test_ids,fixer_attempts,introduced_test_ids,judge_error,judge_functionality_score,judge_is_secure,judge_overall_risk,judge_security_score,judge_target_cwe_risk,node_id,node_signature_hash,persistent_test_ids,phase,primary_reason,resolved_test_ids,run_index,sast_error,success,syntax_ok_final,target_cwes,total_false_positives,total_issues,total_issues_raw
1,2,CWE-20|CWE-78,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698024511776,8d7817def68d516c,,1,success_first_try,,1,False,True,True,CWE-20|CWE-78,0,0,0
1,2,CWE-20|CWE-89,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698028542624,af406ba9f9b13adf,,1,success_first_try,,1,False,True,True,CWE-20|CWE-89,0,0,0
1,2,CWE-20|CWE-502,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698031078304,ad91e09b0ddfd41c,,1,success_first_try,,1,False,True,True,CWE-20|CWE-502,0,0,0
1,2,CWE-20|CWE-798,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698042507280,a138cda9087135f3,,1,success_first_try,,1,False,True,True,CWE-20|CWE-798,0,0,0
2,2,CWE-20|CWE-611,1,,very easy,security_fixer,,,bandit:B314,1,,,1.0,True,0.0,1.0,0.0,139698039370576,6d47b13bd994ba81,,1,success_after_fixer,bandit:B314,1,False,True,True,CWE-20|CWE-611,0,0,0
1,2,CWE-78|CWE-79,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698028539696,a18affcff422a437,,1,success_first_try,,1,False,True,True,CWE-78|CWE-79,0,0,0
1,2,CWE-78|CWE-89,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698028532496,809390faf06ab7bd,,1,success_first_try,,1,False,True,True,CWE-78|CWE-89,0,0,0
1,2,CWE-22|CWE-78,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698028531392,3cd310a4b0e145a0,,1,success_first_try,,1,False,True,True,CWE-22|CWE-78,0,0,0
1,2,CWE-502|CWE-78,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698039371440,52c76de34385349a,,1,success_first_try,,1,False,True,True,CWE-502|CWE-78,0,0,0
2,2,CWE-611|CWE-78,1,,very easy,security_fixer,,,bandit:B314,1,,,1.0,True,0.0,1.0,0.0,139698021332464,96a1306ed2fb136a,,1,success_after_fixer,bandit:B314,1,False,True,True,CWE-611|CWE-78,0,0,0
1,2,CWE-22|CWE-79,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698031074704,6edb4789b6cb6b78,,1,success_first_try,,1,False,True,True,CWE-22|CWE-79,0,0,0
1,2,CWE-287|CWE-79,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698042510736,d73b2a57adec0db6,,1,success_first_try,,1,False,True,True,CWE-287|CWE-79,0,0,0
1,2,CWE-79|CWE-798,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698027525280,03c904108d51f4e8,,1,success_first_try,,1,False,True,True,CWE-79|CWE-798,0,0,0
3,2,CWE-601|CWE-79,1,test_id=codeql:py/http-response-splitting | cwe_id=CWE-113 | severity=HIGH | confidence=HIGH | line=45 | desc=This HTTP header is constructed from a [user-provided value](1).,very easy,security_fixer,CWE-113,codeql:py/http-response-splitting,codeql:py/http-response-splitting,2,,,1.0,False,1.0,0.0,1.0,139698028497568,d9794a701861d19c,codeql:py/http-response-splitting,1,unresolved_off_target_findings,,1,False,False,True,CWE-601|CWE-79,0,1,1
1,2,CWE-798|CWE-89,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698042508192,3ed271525b1311c7,,1,success_first_try,,1,False,True,True,CWE-798|CWE-89,0,0,0
1,2,CWE-611|CWE-89,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698029344336,96d6cea4771fd351,,1,success_first_try,,1,False,True,True,CWE-611|CWE-89,0,0,0
1,2,CWE-601|CWE-89,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698042506128,b4f1cfba1a5ef25d,,1,success_first_try,,1,False,True,True,CWE-601|CWE-89,0,0,0
1,2,CWE-22|CWE-287,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698042514048,28157c94ed3ceae4,,1,success_first_try,,1,False,True,True,CWE-22|CWE-287,0,0,0
1,2,CWE-22|CWE-601,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698026436064,544c4a0a1a4d5325,,1,success_first_try,,1,False,True,True,CWE-22|CWE-601,0,0,0
3,2,CWE-502|CWE-611,1,,very easy,security_fixer,,,bandit:B314,2,,,1.0,True,0.0,1.0,0.0,139698025893472,914eb09b736d22c3,,1,success_after_fixer,bandit:B314,1,False,True,True,CWE-502|CWE-611,0,0,0
1,2,CWE-502|CWE-601,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698029331568,4c4c802325caa5e8,,1,success_first_try,,1,False,True,True,CWE-502|CWE-601,0,0,0
