attempts_executed,combo_size,concepts,depth,detail,difficulty,final_agent_role,final_cwe_ids,final_test_ids,first_test_ids,fixer_attempts,introduced_test_ids,judge_error,judge_functionality_score,judge_is_secure,judge_overall_risk,judge_security_score,judge_target_cwe_risk,node_id,node_signature_hash,persistent_test_ids,phase,primary_reason,resolved_test_ids,run_index,sast_error,success,syntax_ok_final,target_cwes,total_false_positives,total_issues,total_issues_raw
1,2,CWE-20|CWE-78,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698040912736,8d7817def68d516c,,1,success_first_try,,1,False,True,True,CWE-20|CWE-78,0,0,0
1,2,CWE-20|CWE-89,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698025058656,af406ba9f9b13adf,,1,success_first_try,,1,False,True,True,CWE-20|CWE-89,0,0,0
1,2,CWE-20|CWE-502,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698029487328,ad91e09b0ddfd41c,,1,success_first_try,,1,False,True,True,CWE-20|CWE-502,0,0,0
1,2,CWE-20|CWE-798,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698021334672,a138cda9087135f3,,1,success_first_try,,1,False,True,True,CWE-20|CWE-798,0,0,0
2,2,CWE-20|CWE-611,1,,very easy,security_fixer,,,bandit:B314,1,,,1.0,True,0.0,1.0,0.0,139698032496176,6d47b13bd994ba81,,1,success_after_fixer,bandit:B314,1,False,True,True,CWE-20|CWE-611,0,0,0
1,2,CWE-78|CWE-79,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698030100896,a18affcff422a437,,1,success_first_try,,1,False,True,True,CWE-78|CWE-79,0,0,0
1,2,CWE-78|CWE-89,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698025069264,809390faf06ab7bd,,1,success_first_try,,1,False,True,True,CWE-78|CWE-89,0,0,0
1,2,CWE-22|CWE-78,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698029492896,3cd310a4b0e145a0,,1,success_first_try,,1,False,True,True,CWE-22|CWE-78,0,0,0
1,2,CWE-502|CWE-78,1,,very easy,problem_solver,,,,0,,,1.0,True,0.0,1.0,0.0,139698024993600,52c76de34385349a,,1,success_first_try,,1,False,True,True,CWE-502|CWE-78,0,0,0
2,2,CWE-611|CWE-78,1,,very easy,security_fixer,,,bandit:B314,1,,,1.0,True,0.0,1.0,0.0,139698021320224,96a1306ed2fb136a,,1,success_after_fixer,bandit:B314,1,False,True,True,CWE-611|CWE-78,0,0,0
